pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
震卦-dynamic,thunder / rising,e,0.819,19,10,0.7,810,0.005,0.0518,False
震卦-dynamic,thunder / rising,c,0.789,7,3,1.0,81,0.005,0.0518,False
震卦-dynamic,thunder / rising,ɛ,0.783,15,8,0.62,423,0.005,0.0518,False
兌卦-dynamic,marsh / emission,ø,0.771,5,3,0.33,133,0.005,0.0518,False
乾卦-static,sky / fullness,o,0.748,18,9,0.67,468,0.005,0.0518,False
坤卦-dynamic,earth / stillness,x,0.73,8,3,1.0,213,0.005,0.0518,False
震卦-static,thunder / base,ʊ,0.679,8,3,0.67,186,0.005,0.0518,False
震卦-static,thunder / base,p,0.672,21,11,0.73,743,0.005,0.0518,False
艮卦-dynamic,mountain / descent,d,0.667,19,9,0.67,836,0.005,0.0518,False
乾卦-static,sky / fullness,m,0.666,22,11,0.64,462,0.005,0.0518,False
艮卦-static,mountain / cover,p,0.636,21,11,0.73,728,0.005,0.0518,False
震卦-static,thunder / base,b,0.63,20,10,0.6,885,0.005,0.0518,False
乾卦-static,sky / fullness,k,-0.625,21,10,0.7,322,0.005,0.0518,False
震卦-static,thunder / base,t͡s,0.624,6,3,1.0,89,0.005,0.0518,False
艮卦-static,mountain / cover,f,0.577,16,7,0.57,453,0.005,0.0518,False
離卦-dynamic,fire / contraction,l,-0.532,21,11,0.73,1021,0.005,0.0518,False
坤卦-static,earth / void,r,-0.494,15,7,0.71,374,0.005,0.0518,False
震卦-static,thunder / base,ɪ,-0.48,10,5,0.6,345,0.005,0.0518,False
艮卦-static,mountain / cover,k,0.454,22,11,0.55,1266,0.005,0.0518,False
艮卦-static,mountain / cover,t,0.447,20,10,0.7,1583,0.005,0.0518,False
離卦-dynamic,fire / contraction,u,-0.427,20,10,0.7,974,0.005,0.0518,False
坤卦-static,earth / void,t,0.418,21,11,0.55,724,0.005,0.0518,False
震卦-dynamic,thunder / rising,d,0.407,20,9,0.67,412,0.005,0.0518,False
艮卦-dynamic,mountain / descent,m,-0.403,22,11,0.73,958,0.005,0.0518,False
震卦-static,thunder / base,i,-0.398,22,11,0.64,1789,0.005,0.0518,False
艮卦-static,mountain / cover,b,0.383,20,10,0.7,898,0.005,0.0518,False
坎卦-static,water / core,t,0.379,21,11,0.55,2077,0.005,0.0518,False
中卦-static,center / uniformity,j,0.778,13,6,0.5,139,0.01,0.0821,False
艮卦-static,mountain / cover,l,0.396,20,10,0.6,1395,0.01,0.0821,False
艮卦-dynamic,mountain / descent,a,0.328,21,10,0.5,3139,0.01,0.0821,False
兌卦-dynamic,marsh / emission,a,0.314,21,10,0.6,3114,0.01,0.0821,False
巽卦-dynamic,wind / seepage,f,1.584,6,3,1.0,41,0.0149,0.1041,False
乾卦-dynamic,sky / tumult,t͡ʃ,1.469,7,6,1.0,35,0.0149,0.1041,False
中卦-dynamic,center / mixture,z,1.14,8,6,0.67,52,0.0149,0.1041,False
巽卦-static,wind / detachment,ɡ,1.053,9,4,0.5,71,0.0149,0.1041,False
兌卦-static,marsh / cavity,l,0.941,14,6,0.83,108,0.0149,0.1041,False
巽卦-static,wind / detachment,o,0.926,15,8,0.75,227,0.0149,0.1041,False
巽卦-dynamic,wind / seepage,k,0.873,18,10,0.8,110,0.0149,0.1041,False
坤卦-dynamic,earth / stillness,t͡s,-0.651,6,4,0.75,40,0.0149,0.1041,False
震卦-dynamic,thunder / rising,ɔ,0.526,10,4,0.75,155,0.0149,0.1041,False
震卦-static,thunder / base,ɡ,0.349,18,9,0.89,544,0.0149,0.1041,False
離卦-dynamic,fire / contraction,n,0.317,22,11,0.64,1921,0.0149,0.1041,False
震卦-static,thunder / base,d,0.313,19,9,0.56,695,0.0149,0.1041,False
兌卦-dynamic,marsh / emission,o,-0.296,19,10,0.9,885,0.0149,0.1041,False
艮卦-static,mountain / cover,i,-0.282,22,11,0.55,2145,0.0149,0.1041,False
巽卦-dynamic,wind / seepage,ʃ,1.543,5,3,1.0,58,0.0199,0.1181,False
兌卦-static,marsh / cavity,f,1.514,5,2,1.0,36,0.0199,0.1181,False
乾卦-dynamic,sky / tumult,v,1.066,7,4,1.0,56,0.0199,0.1181,False
巽卦-static,wind / detachment,v,1.013,11,4,0.75,66,0.0199,0.1181,False
巽卦-static,wind / detachment,j,0.974,11,7,0.86,78,0.0199,0.1181,False
離卦-static,fire / enclosure,ɛ,0.882,12,8,0.75,88,0.0199,0.1181,False
坎卦-dynamic,water / dispersal,ŋ,0.76,8,7,0.57,89,0.0199,0.1181,False
中卦-dynamic,center / mixture,b,0.756,13,9,1.0,102,0.0199,0.1181,False
乾卦-static,sky / fullness,w,0.693,8,6,0.5,61,0.0199,0.1181,False
乾卦-static,sky / fullness,s,0.482,21,10,0.7,540,0.0199,0.1181,False
艮卦-static,mountain / cover,ʃ,0.394,12,5,0.8,461,0.0199,0.1181,False
震卦-dynamic,thunder / rising,u,-0.384,20,10,0.8,510,0.0199,0.1181,False
坎卦-static,water / core,ɡ,0.376,17,8,0.75,445,0.0199,0.1181,False
震卦-dynamic,thunder / rising,m,-0.353,22,11,0.64,540,0.0199,0.1181,False
震卦-static,thunder / base,z,-0.329,13,7,0.71,171,0.0199,0.1181,False
震卦-static,thunder / base,s,-0.299,21,10,0.8,1056,0.0199,0.1181,False
中卦-static,center / uniformity,ð,1.291,5,3,1.0,33,0.0249,0.1362,False
中卦-static,center / uniformity,ʌ,0.899,6,3,1.0,104,0.0249,0.1362,False
乾卦-dynamic,sky / tumult,r,0.894,14,7,0.71,135,0.0249,0.1362,False
中卦-static,center / uniformity,ɛ,0.634,13,7,0.71,164,0.0249,0.1362,False
乾卦-static,sky / fullness,ɡ,0.548,13,6,0.83,179,0.0249,0.1362,False
坤卦-dynamic,earth / stillness,ʌ,0.546,6,3,0.67,436,0.0249,0.1362,False
兌卦-dynamic,marsh / emission,x,0.463,10,4,0.5,98,0.0249,0.1362,False
乾卦-static,sky / fullness,n,0.442,22,11,0.64,620,0.0249,0.1362,False
坎卦-static,water / core,ə,0.382,10,6,0.67,1370,0.0249,0.1362,False
巽卦-static,wind / detachment,b,0.777,13,8,0.75,98,0.0299,0.1529,False
震卦-dynamic,thunder / rising,d͡ʒ,0.696,7,5,0.8,67,0.0299,0.1529,False
中卦-dynamic,center / mixture,m,0.653,21,10,0.7,197,0.0299,0.1529,False
震卦-dynamic,thunder / rising,ə,0.479,10,5,0.6,373,0.0299,0.1529,False
坤卦-dynamic,earth / stillness,ʊ,0.397,8,3,1.0,242,0.0299,0.1529,False
離卦-dynamic,fire / contraction,ɛ,0.355,16,8,0.88,746,0.0299,0.1529,False
離卦-dynamic,fire / contraction,ɡ,-0.279,18,9,0.78,428,0.0299,0.1529,False
坤卦-dynamic,earth / stillness,a,-0.265,21,10,0.6,3645,0.0299,0.1529,False
巽卦-static,wind / detachment,z,1.114,5,4,0.75,43,0.0348,0.1714,False
坤卦-dynamic,earth / stillness,a͡ʊ,0.584,6,2,0.5,62,0.0348,0.1714,False
艮卦-dynamic,mountain / descent,a͡ɪ,0.53,5,3,1.0,123,0.0348,0.1714,False
乾卦-static,sky / fullness,h,0.445,16,10,0.6,279,0.0348,0.1714,False
坤卦-static,earth / void,a,0.35,21,10,0.8,1515,0.0348,0.1714,False
離卦-static,fire / enclosure,ɔ,1.155,5,3,1.0,36,0.0398,0.1831,False
中卦-static,center / uniformity,y,1.009,5,3,0.67,49,0.0398,0.1831,False
中卦-static,center / uniformity,w,0.999,6,6,0.67,54,0.0398,0.1831,False
乾卦-dynamic,sky / tumult,j,0.892,8,4,0.75,68,0.0398,0.1831,False
離卦-static,fire / enclosure,r,0.784,13,6,0.83,137,0.0398,0.1831,False
坎卦-dynamic,water / dispersal,ʊ,0.733,7,2,0.5,58,0.0398,0.1831,False
震卦-dynamic,thunder / rising,t͡s,0.663,6,4,0.75,57,0.0398,0.1831,False
中卦-dynamic,center / mixture,k,0.604,20,9,0.78,209,0.0398,0.1831,False
