family,source,target,k,n_concepts,acc_mean,acc_clean_mean,boot_ci95,nb_se,null_mean,null_p95,p_perm,q_fdr,mean_rank,n_collision_total
exploratory,Korean,English,100,1842,0.1829259694477086,0.16850669035330354,"[0.16565981198589894, 0.20069131903642773]",0.01370482521338905,0.051581918331374856,0.06079612220916569,0.004975124378109453,0.004975124378109453,677.0948619271446,81
exploratory,Thai,English,100,1842,0.14770857814336075,0.12562602047514443,"[0.12752820211515864, 0.16849067273795534]",0.0155313661535151,0.051406301410105756,0.06081698002350177,0.004975124378109453,0.004975124378109453,748.397062279671,81
exploratory,Indonesian,English,100,1738,0.1825383106040715,0.1641106210768664,"[0.1665707846658175, 0.20099143012928877]",0.014028017512325297,0.05497005158026525,0.06444402379048977,0.004975124378109453,0.004975124378109453,643.7441261729025,79
exploratory,Turkish,English,100,1804,0.17733983166090664,0.15832304136909492,"[0.15955088640451637, 0.19685043972012103]",0.014740139673175608,0.052247841162306324,0.0627941956451096,0.004975124378109453,0.004975124378109453,680.6901741531726,79
exploratory,Arabic,English,100,1835,0.15310134745273732,0.13570316998947723,"[0.14088712962020158, 0.1650771624579982]",0.009718359702868183,0.053007855354434114,0.06320771130152812,0.004975124378109453,0.004975124378109453,715.8475110568927,81
exploratory,Hebrew,English,100,1838,0.14036446660644805,0.12297808703097295,"[0.13282998121767722, 0.14757217349336915]",0.005946011652259554,0.0517586947692525,0.060915453580278965,0.004975124378109453,0.004975124378109453,739.8754258755987,81
exploratory,Swahili,English,100,1574,0.1889457522972508,0.16678020393707071,"[0.1687392866754816, 0.2090594295060673]",0.01542623861017564,0.06013647594615893,0.07157365398628157,0.004975124378109453,0.004975124378109453,595.6720110311318,77
exploratory,Hindi,English,100,1804,0.31664100359756087,0.2845039516313185,"[0.3007676260519949, 0.33706095816295745]",0.013992965470078597,0.05196630001293245,0.06205144347676177,0.004975124378109453,0.004975124378109453,538.4049895456842,81
exploratory,Hungarian,Semantics,100,1686,0.2527806876799187,0.2193423803034868,"[0.23340552349309537, 0.2724820933080187]",0.015905301795644693,0.05757225754913573,0.06700002140250792,0.004975124378109453,0.004975124378109453,536.0594944764185,75
exploratory,Finnish,Semantics,100,1794,0.23486180212845942,0.2172754374753399,"[0.2106619216249001, 0.2600070969483659]",0.019180686537146725,0.05429541488437098,0.06483179539402309,0.004975124378109453,0.004975124378109453,540.1785351151703,81
exploratory,Greek,Semantics,100,1836,0.22218121968121968,0.2039148943501833,"[0.209648606694446, 0.23585411937171555]",0.009846354859488492,0.053456613764062084,0.06425045405622741,0.004975124378109453,0.004975124378109453,548.6427470632852,81
exploratory,Russian,Semantics,100,1834,0.25461967944148983,0.23728413402495244,"[0.23644671674251144, 0.27110637461849146]",0.014101658783333266,0.053380119197742146,0.06324837997592808,0.004975124378109453,0.004975124378109453,522.3546436338668,81
exploratory,German,Semantics,100,1834,0.26390075155399456,0.24506562876391996,"[0.2465952025799228, 0.27923545263931937]",0.012677228224842772,0.054086780045065855,0.06330602192799269,0.004975124378109453,0.004975124378109453,503.7648123203682,81
exploratory,Spanish,Semantics,100,1835,0.25774426527990324,0.24047291481800065,"[0.24525718698028035, 0.2739211528953154]",0.011146109284001953,0.05334544330875406,0.06261197735021683,0.004975124378109453,0.004975124378109453,526.7140500951084,81
exploratory,Italian,Semantics,100,1834,0.23223877945367613,0.213759160088626,"[0.22067416450849273, 0.24381876505949918]",0.009273191791228555,0.05373812302057134,0.06328344358119838,0.004975124378109453,0.004975124378109453,544.5890791651857,81
exploratory,French,Semantics,100,1836,0.21352120913061756,0.19376674230084626,"[0.20215113904271065, 0.2248301704680447]",0.008969192768919257,0.05382794960492751,0.06266141133496798,0.004975124378109453,0.004975124378109453,583.9951415403286,81
exploratory,Irish,Semantics,100,1836,0.20800914417272223,0.19600375704373585,"[0.1940803184742511, 0.2250815438121657]",0.012093858304661536,0.05234940636280622,0.06269004234177078,0.004975124378109453,0.004975124378109453,610.6214072920524,81
exploratory,Welsh,Semantics,100,1748,0.19849105698203265,0.16353095023080394,"[0.1779736708542516, 0.22149671386538444]",0.016407752609559303,0.05675253761841881,0.06586397129963227,0.004975124378109453,0.004975124378109453,598.1062274945314,79
exploratory,Chinese,Semantics,100,1836,0.16993848375174106,0.16857219775854343,"[0.1563768025753503, 0.18442309605451088]",0.011149180794735708,0.0537378372971477,0.06377474004006434,0.004975124378109453,0.004975124378109453,662.6748634211428,81
exploratory,Vietnamese,Semantics,100,1781,0.24040385979524004,0.22894867231797864,"[0.22327688632379358, 0.25794198108766564]",0.013367442208133434,0.054916881263843885,0.06462041990565817,0.004975124378109453,0.004975124378109453,554.549906684059,79
exploratory,Japanese,Semantics,100,1835,0.19291332312002302,0.18645862982947906,"[0.17619229435146222, 0.2127261628154358]",0.013974987987126803,0.052641413180899994,0.06159522676985257,0.004975124378109453,0.004975124378109453,545.369041494519,81
exploratory,Korean,Semantics,100,1836,0.22269790264444572,0.20770857111809238,"[0.20350343667677062, 0.24035686238626366]",0.0141483938600699,0.05349575480625017,0.06263872589977365,0.004975124378109453,0.004975124378109453,559.5057144889361,81
exploratory,Thai,Semantics,100,1836,0.23476983129691611,0.2225452668670318,"[0.2093815446571594, 0.256153777619387]",0.017713396530772273,0.052886789840995124,0.06158569067175624,0.004975124378109453,0.004975124378109453,585.780462530156,81
exploratory,Indonesian,Semantics,100,1733,0.24031765288710716,0.22294453187889146,"[0.21878989266046653, 0.26131746685270885]",0.016728909663520974,0.05683923384903584,0.06711816841583636,0.004975124378109453,0.004975124378109453,532.2528834123398,79
exploratory,Turkish,Semantics,100,1798,0.24183673106152365,0.22741004471964224,"[0.2200855058746667, 0.2640960945838884]",0.01775267789635171,0.05527071131445483,0.06497032017546299,0.004975124378109453,0.004975124378109453,557.8336842675334,79
exploratory,Arabic,Semantics,100,1830,0.20708315535289498,0.18980459060732918,"[0.193121021737825, 0.22251849830426887]",0.011639395497629799,0.05359117239528197,0.06444285280180048,0.004975124378109453,0.004975124378109453,593.733928729377,81
exploratory,Hebrew,Semantics,100,1832,0.1883219892485751,0.17089957105418246,"[0.17085651429824628, 0.2049795522545879]",0.013615543708464977,0.053046864352682244,0.06172397616045156,0.004975124378109453,0.004975124378109453,623.3810150736648,81
exploratory,Swahili,Semantics,100,1570,0.24788087892420033,0.23172090547391838,"[0.23082691698646723, 0.2638855036112306]",0.012581547062802349,0.06165192766867879,0.07382051773621681,0.004975124378109453,0.004975124378109453,474.1613675979432,77
exploratory,Hindi,Semantics,100,1799,0.20406419457295116,0.1677082867561466,"[0.1831563517422168, 0.2245044640842779]",0.017004500721103828,0.05481312149921393,0.06401640509116556,0.004975124378109453,0.004975124378109453,619.6173151924748,81
