pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
艮卦-static,mountain / cover,l,0.115,21,11,0.45,962,0.3881,0.6589,False
艮卦-dynamic,mountain / descent,l,0.113,21,11,0.64,1021,0.3831,0.6589,False
離卦-dynamic,fire / contraction,p,0.111,20,10,0.5,672,0.3881,0.6589,False
乾卦-dynamic,sky / tumult,ɪ,0.391,7,3,0.33,64,0.398,0.6619,False
離卦-static,fire / enclosure,b,0.264,14,9,0.56,86,0.398,0.6619,False
中卦-static,center / uniformity,u,-0.205,15,10,0.7,149,0.398,0.6619,False
乾卦-static,sky / fullness,w,0.333,6,6,0.5,61,0.403,0.6649,False
震卦-dynamic,thunder / rising,h,0.149,16,10,0.5,262,0.403,0.6649,False
艮卦-dynamic,mountain / descent,ɛ,-0.138,14,7,0.86,430,0.403,0.6649,False
中卦-dynamic,center / mixture,p,-0.269,10,5,0.4,54,0.4129,0.669,False
坎卦-dynamic,water / dispersal,o,-0.213,18,9,0.56,230,0.4129,0.669,False
坤卦-dynamic,earth / stillness,c,0.17,6,3,0.33,142,0.408,0.669,False
坤卦-dynamic,earth / stillness,ʊ,0.163,6,3,0.33,203,0.4129,0.669,False
坎卦-static,water / core,t͡ʃ,0.151,10,8,0.5,928,0.4129,0.669,False
坤卦-dynamic,earth / stillness,o,0.1,19,10,0.5,1372,0.4129,0.669,False
震卦-static,thunder / base,e,0.094,19,10,0.5,1209,0.4129,0.669,False
兌卦-static,marsh / cavity,d,0.513,5,3,0.67,37,0.4229,0.6747,False
中卦-static,center / uniformity,ŋ,0.384,5,5,0.4,61,0.4229,0.6747,False
坎卦-dynamic,water / dispersal,w,0.35,5,5,0.6,65,0.4229,0.6747,False
震卦-dynamic,thunder / rising,ʌ,0.277,6,3,0.33,158,0.4229,0.6747,False
中卦-static,center / uniformity,e,0.242,16,9,0.67,245,0.4179,0.6747,False
艮卦-static,mountain / cover,ə,-0.133,11,6,0.83,446,0.4229,0.6747,False
中卦-dynamic,center / mixture,ə,0.279,9,5,0.6,68,0.4328,0.6768,False
中卦-static,center / uniformity,ɪ,0.267,8,4,0.75,123,0.4328,0.6768,False
坎卦-static,water / core,c,-0.205,6,3,0.67,80,0.4279,0.6768,False
坎卦-dynamic,water / dispersal,u,0.162,19,10,0.7,245,0.4328,0.6768,False
艮卦-static,mountain / cover,x,0.149,8,4,0.75,105,0.4328,0.6768,False
乾卦-static,sky / fullness,a,0.147,21,10,0.7,1002,0.4328,0.6768,False
乾卦-static,sky / fullness,r,0.137,16,7,0.57,322,0.4328,0.6768,False
坤卦-dynamic,earth / stillness,z,0.115,14,7,0.71,449,0.4279,0.6768,False
震卦-dynamic,thunder / rising,ʃ,0.195,8,5,0.6,124,0.4378,0.6812,False
離卦-dynamic,fire / contraction,ɲ,0.179,6,5,0.2,68,0.4378,0.6812,False
兌卦-static,marsh / cavity,s,0.355,13,6,0.83,89,0.4527,0.6907,False
離卦-static,fire / enclosure,ə,0.337,9,5,0.6,91,0.4478,0.6907,False
乾卦-static,sky / fullness,v,0.175,13,5,0.6,128,0.4527,0.6907,False
震卦-dynamic,thunder / rising,z,0.146,12,7,0.57,132,0.4527,0.6907,False
坤卦-dynamic,earth / stillness,ʃ,0.134,11,4,0.5,393,0.4527,0.6907,False
坤卦-static,earth / void,e,-0.129,19,10,0.5,394,0.4527,0.6907,False
兌卦-dynamic,marsh / emission,z,0.129,11,7,0.57,208,0.4478,0.6907,False
坤卦-dynamic,earth / stillness,e,0.089,19,10,0.4,1379,0.4478,0.6907,False
乾卦-dynamic,sky / tumult,t,0.278,14,6,0.67,148,0.4577,0.6966,False
巽卦-dynamic,wind / seepage,ɛ,0.468,5,3,0.67,31,0.4726,0.7006,False
兌卦-static,marsh / cavity,e,0.447,8,4,0.75,53,0.4726,0.7006,False
